2026-06-11 19:03:49,233 - INFO - 正在拉取 000967 的日线数据 (20240611 ~ 20260611)...
2026-06-11 19:03:49,753 - INFO -   尝试 AKShare (尝试 1/3)...
2026-06-11 19:03:50,097 - WARNING -   ⚠ AKShare 拉取失败 (尝试 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:03:52,097 - INFO -   尝试 AKShare (尝试 2/3)...
2026-06-11 19:03:52,417 - WARNING -   ⚠ AKShare 拉取失败 (尝试 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:03:56,418 - INFO -   尝试 AKShare (尝试 3/3)...
2026-06-11 19:03:56,861 - WARNING -   ⚠ AKShare 拉取失败 (尝试 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:03:56,862 - INFO -   尝试使用 BaoStock 备选方案...
2026-06-11 19:04:02,685 - INFO -   ✓ BaoStock 拉取成功
2026-06-11 19:04:02,694 - INFO -   ✓ 盈峰环境(000967) 数据已保存: C:\Users\Administrator\.openclaw\workspace\quant-learn\data\000967.csv (486 条记录)
2026-06-11 19:04:03,694 - INFO - 正在拉取 002256 的日线数据 (20240611 ~ 20260611)...
2026-06-11 19:04:03,695 - INFO -   尝试 AKShare (尝试 1/3)...
2026-06-11 19:04:04,094 - WARNING -   ⚠ AKShare 拉取失败 (尝试 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:04:06,094 - INFO -   尝试 AKShare (尝试 2/3)...
2026-06-11 19:04:06,433 - WARNING -   ⚠ AKShare 拉取失败 (尝试 2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:04:10,433 - INFO -   尝试 AKShare (尝试 3/3)...
2026-06-11 19:04:11,478 - WARNING -   ⚠ AKShare 拉取失败 (尝试 3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-11 19:04:11,478 - INFO -   尝试使用 BaoStock 备选方案...
2026-06-11 19:04:13,853 - INFO -   ✓ BaoStock 拉取成功
2026-06-11 19:04:13,859 - INFO -   ✓ 兆新股份(002256) 数据已保存: C:\Users\Administrator\.openclaw\workspace\quant-learn\data\002256.csv (486 条记录)
2026-06-11 19:04:14,860 - INFO - 数据获取完成！成功: 2, 失败: 0
