code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh600519,2025-07-09 11:30:00,2025-07-15 11:30:00,1429.25,1416.55,-0.89,6,0,-2~0%,2025-07
sh600519,2025-07-18 11:30:00,2025-07-28 11:30:00,1432.67,1446.6,0.97,10,1,0~2%,2025-07
sh600519,2025-08-11 11:30:00,2025-08-13 11:30:00,1439.86,1421.5,-1.28,2,0,-2~0%,2025-08
sh600519,2025-08-20 15:00:00,2025-08-27 14:00:00,1447.82,1460.32,0.86,6,1,0~2%,2025-08
sh600519,2025-08-29 15:00:00,2025-09-18 14:00:00,1476.05,1485.4,0.63,19,1,0~2%,2025-09
sh600519,2025-09-29 15:00:00,2025-10-09 11:30:00,1468.01,1426.36,-2.84,9,0,-5~-2%,2025-10
sh600519,2025-10-14 11:30:00,2025-10-23 11:30:00,1444.44,1450.26,0.4,9,1,0~2%,2025-10
sh600519,2025-11-10 14:00:00,2025-11-24 15:00:00,1453.5,1454.38,0.06,14,1,0~2%,2025-11
sh600519,2025-12-12 11:30:00,2025-12-19 11:30:00,1418.5,1406.96,-0.81,7,0,-2~0%,2025-12
sh600519,2026-01-05 11:30:00,2026-01-14 15:00:00,1405.09,1398.3,-0.48,9,0,-2~0%,2026-01
sh600519,2026-01-29 11:30:00,2026-02-12 11:30:00,1367.0,1483.6,8.53,14,1,5~10%,2026-02
sh600519,2026-03-13 15:00:00,2026-03-23 11:30:00,1413.44,1417.05,0.26,9,1,0~2%,2026-03
sh600519,2026-03-31 11:30:00,2026-04-13 11:30:00,1455.86,1437.06,-1.29,13,0,-2~0%,2026-04
sh600519,2026-04-15 15:00:00,2026-04-17 11:30:00,1466.84,1413.8,-3.62,1,0,-5~-2%,2026-04
sh600519,2026-04-24 11:30:00,2026-04-27 11:30:00,1446.0,1408.42,-2.6,3,0,-5~-2%,2026-04
sh600519,2026-05-27 15:00:00,2026-06-04 15:00:00,1306.05,1270.33,-2.73,8,0,-5~-2%,2026-06
sz000858,2025-06-20 14:00:00,2025-06-30 14:00:00,119.47,118.49,-0.82,10,0,-2~0%,2025-06
sz000858,2025-07-04 15:00:00,2025-07-18 15:00:00,120.34,123.64,2.74,14,1,2~5%,2025-07
sz000858,2025-07-23 10:30:00,2025-07-28 10:30:00,125.7,123.52,-1.73,5,0,-2~0%,2025-07
sz000858,2025-08-07 14:00:00,2025-08-15 11:30:00,122.96,122.03,-0.76,7,0,-2~0%,2025-08
sz000858,2025-08-19 11:30:00,2025-08-28 10:30:00,125.32,126.61,1.03,8,1,0~2%,2025-08
