code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,win,cumulative,peak,drawdown,pnl_bin,month
sh.601168,2025-03-11,2025-04-03,16.006,15.649,-2.23,23,0,0.9777,0.9777,0.0,-5%~-2%,2025-04
sz.000630,2025-03-12,2025-04-07,3.246,2.932,-9.68,26,0,0.88305864,0.9777,-9.680000000000001,-10%~-5%,2025-04
sh.600547,2025-03-17,2025-04-08,25.035,25.065,0.12,22,1,0.884118310368,0.9777,-9.571615999999999,0%~2%,2025-04
sh.601857,2025-03-26,2025-04-08,7.655,7.02,-8.29,13,0,0.8108249024384928,0.9777,-17.068129033599998,-10%~-5%,2025-04
sh.600196,2025-04-02,2025-04-08,25.481,22.921,-10.05,6,0,0.7293369997434243,0.9777,-25.4027820657232,<-10%,2025-04
sz.002142,2025-03-17,2025-04-08,24.607,22.194,-9.81,22,0,0.6577890400685944,0.9777,-32.72076914507575,-10%~-5%,2025-04
sh.601899,2025-03-14,2025-04-08,17.009,15.199,-10.64,25,0,0.5878002862052959,0.9777,-39.87927930803969,<-10%,2025-04
sz.000333,2025-03-03,2025-04-08,68.915,64.46,-6.46,36,0,0.5498283877164338,0.9777,-43.76307786474033,-10%~-5%,2025-04
sh.603178,2025-04-24,2025-04-30,21.652,17.352,-19.86,6,0,0.44063246991595006,0.9777,-54.931730600802894,<-10%,2025-04
sh.600310,2025-04-25,2025-05-06,5.005,4.205,-15.98,11,0,0.37021940122338126,0.9777,-62.13364005079459,<-10%,2025-05
sh.600547,2025-04-11,2025-05-13,29.622,28.83,-2.68,32,0,0.3602975212705946,0.9777,-63.14845849743331,-5%~-2%,2025-05
sh.601888,2025-04-10,2025-05-16,67.595,60.473,-10.54,36,0,0.32232216252867396,0.9777,-67.03261097180383,<-10%,2025-05
sh.600585,2025-03-06,2025-05-19,23.116,22.513,-2.61,74,0,0.3139095540866756,0.9777,-67.89305982543974,-5%~-2%,2025-05
sz.002371,2025-04-10,2025-05-23,339.917,312.472,-8.07,43,0,0.28857705307188086,0.9777,-70.48408989752676,-10%~-5%,2025-05
sh.603160,2025-05-09,2025-05-26,70.559,67.026,-5.01,17,0,0.2741193427129796,0.9777,-71.96283699366069,-10%~-5%,2025-05
sh.603986,2025-04-30,2025-05-26,126.339,114.988,-8.98,26,0,0.24950342573735404,0.9777,-74.48057423162993,-10%~-5%,2025-05
sz.000002,2025-04-21,2025-05-26,7.2,6.63,-7.92,35,0,0.2297427544189556,0.9777,-76.50171275248485,-10%~-5%,2025-05
sh.600519,2025-05-13,2025-05-27,1551.572,1495.716,-3.6,14,0,0.2214720152598732,0.9777,-77.34765109339538,-5%~-2%,2025-05
sh.600519,2025-05-13,2025-05-27,1551.572,1495.716,-3.6,14,0,0.21349902271051777,0.9777,-78.16313565403316,-5%~-2%,2025-05
sz.000858,2025-05-15,2025-05-27,128.614,120.298,-6.47,12,0,0.19968563594114727,0.9777,-79.57598077721721,-10%~-5%,2025-05
sz.000858,2025-05-15,2025-05-27,128.614,120.298,-6.47,12,0,0.18676597529575506,0.9777,-80.89741482093126,-10%~-5%,2025-05
sh.600031,2025-05-07,2025-05-28,19.437,17.861,-8.11,21,0,0.17161925469926934,0.9777,-82.44663447895374,-10%~-5%,2025-05
sh.600584,2025-05-07,2025-05-28,34.844,32.355,-7.14,21,0,0.1593656399137415,0.9777,-83.69994477715643,-10%~-5%,2025-05
sh.600019,2025-04-29,2025-05-29,6.698,6.456,-3.61,30,0,0.15361254031285543,0.9777,-84.28837677070109,-5%~-2%,2025-05
sz.000333,2025-05-12,2025-06-04,72.138,71.835,-0.42,23,0,0.15296736764354144,0.9777,-84.35436558826414,-2%~0%,2025-06
sz.000651,2025-03-17,2025-06-04,39.598,42.096,6.31,79,1,0.1626196085418489,0.9777,-83.36712605688362,5%~10%,2025-06
sh.600406,2025-04-09,2025-06-04,22.611,21.295,-5.82,56,0,0.15315514732471328,0.9777,-84.33515932037298,-10%~-5%,2025-06
sh.600703,2025-04-14,2025-06-04,11.991,12.091,0.83,51,1,0.15442633504750838,0.9777,-84.20514114273209,0%~2%,2025-06
sh.600104,2025-04-17,2025-06-04,15.659,15.321,-2.16,48,0,0.15109072621048222,0.9777,-84.54631009404908,-5%~-2%,2025-06
sh.600690,2025-05-13,2025-06-04,25.316,23.692,-6.42,22,0,0.14139070158776926,0.9777,-85.53843698601112,-10%~-5%,2025-06
sz.300124,2025-05-06,2025-06-09,71.372,63.697,-10.75,34,0,0.12619120116708404,0.9777,-87.09305501001494,<-10%,2025-06
sz.300750,2025-05-08,2025-06-09,234.944,244.156,3.92,32,1,0.13113789625283373,0.9777,-86.58710276640751,2%~5%,2025-06
sh.600085,2025-04-10,2025-06-17,36.672,35.972,-1.91,68,0,0.12863316243440462,0.9777,-86.84328910356913,-2%~0%,2025-06
sz.000538,2025-04-01,2025-06-18,53.181,52.975,-0.39,78,0,0.12813149310091043,0.9777,-86.89460027606522,-2%~0%,2025-06
sh.600588,2025-06-10,2025-06-19,14.44,12.91,-10.6,9,0,0.11454955483221393,0.9777,-88.28377264680229,<-10%,2025-06
sz.002410,2025-04-18,2025-06-19,15.533,13.03,-16.11,62,0,0.09609562154874426,0.9777,-90.17125687340246,<-10%,2025-06
sz.001896,2025-04-28,2025-06-20,4.39,4.41,0.46,53,1,0.09653766140786849,0.9777,-90.1260446550201,0%~2%,2025-06
sh.603178,2025-05-20,2025-06-20,19.737,17.6,-10.83,31,0,0.08608263267739633,0.9777,-91.19539401888142,<-10%,2025-06
sz.002230,2025-05-06,2025-06-23,47.12,45.603,-3.22,48,0,0.08331077190518417,0.9777,-91.47890233147344,-5%~-2%,2025-06
sz.300760,2025-05-14,2025-07-04,225.013,216.039,-3.99,51,0,0.07998667210616732,0.9777,-91.81889412844765,-5%~-2%,2025-07
sh.600547,2025-06-16,2025-07-18,31.683,30.286,-4.41,32,0,0.07645925986628534,0.9777,-92.17968089738311,-5%~-2%,2025-07
sz.002410,2025-07-21,2025-07-24,13.707,12.825,-6.43,3,0,0.07154292945688319,0.9777,-92.68252741568136,-10%~-5%,2025-07
sh.601166,2025-05-09,2025-07-25,19.967,22.51,12.73,77,1,0.08065034437674441,0.9777,-91.75101315569762,>10%,2025-07
sh.600900,2025-04-07,2025-07-25,27.144,28.631,5.48,109,1,0.08506998324859,0.9777,-91.29896867662985,5%~10%,2025-07
sh.600016,2025-05-09,2025-07-30,3.895,4.8,23.24,82,1,0.10484024735556231,0.9777,-89.27684899707863,>10%,2025-07
sz.000651,2025-07-03,2025-07-30,43.545,43.115,-0.99,27,0,0.10380232890674225,0.9777,-89.38300819200754,-2%~0%,2025-07
sh.600406,2025-07-22,2025-07-31,23.116,21.825,-5.59,9,0,0.09799977872085536,0.9777,-89.97649803407433,-10%~-5%,2025-07
sh.600585,2025-07-03,2025-08-01,21.952,23.258,5.95,29,1,0.10383076555474627,0.9777,-89.38009966710175,5%~10%,2025-08
sh.601899,2025-04-17,2025-08-01,17.732,18.954,6.89,106,1,0.11098470530146828,0.9777,-88.64838853416505,5%~10%,2025-08
sz.000001,2025-05-14,2025-08-01,10.72,11.986,11.81,79,1,0.1240919989975717,0.9777,-87.30776322004994,>10%,2025-08
sz.001896,2025-07-08,2025-08-01,5.62,5.41,-3.74,24,0,0.11945095823506252,0.9777,-87.78245287562008,-5%~-2%,2025-08
sh.600690,2025-07-03,2025-08-01,24.446,24.67,0.92,29,1,0.1205499070508251,0.9777,-87.67005144207577,0%~2%,2025-08
sh.600310,2025-07-07,2025-08-01,4.265,4.047,-5.13,25,0,0.11436569681911778,0.9777,-88.3025778030973,-10%~-5%,2025-08
sh.600519,2025-07-23,2025-08-01,1444.403,1398.062,-3.21,9,0,0.1106945579512241,0.9777,-88.67806505561788,-5%~-2%,2025-08
sh.600519,2025-07-23,2025-08-01,1444.403,1398.062,-3.21,9,0,0.1071412626409898,0.9777,-89.04149916733253,-5%~-2%,2025-08
sz.300750,2025-06-26,2025-08-01,251.023,259.774,3.49,36,1,0.11088049270716034,0.9777,-88.65904748827244,2%~5%,2025-08
sh.600028,2025-05-15,2025-08-04,5.592,5.57,-0.41,81,0,0.11042588268706098,0.9777,-88.70554539357053,-2%~0%,2025-08
sz.000002,2025-07-11,2025-08-04,6.75,6.37,-5.63,24,0,0.10420890549177944,0.9777,-89.34142318791251,-10%~-5%,2025-08
sh.601857,2025-05-08,2025-08-04,7.626,8.225,7.85,88,1,0.11238930457288412,0.9777,-88.50472490816364,5%~10%,2025-08
sh.600036,2025-05-12,2025-08-14,40.6,42.453,4.57,94,1,0.11752549579186494,0.9777,-87.9793908364667,2%~5%,2025-08
sh.600036,2025-05-12,2025-08-14,40.6,42.453,4.57,94,1,0.12289641094955318,0.9777,-87.43004899769325,2%~5%,2025-08
sh.600036,2025-05-12,2025-08-14,40.6,42.453,4.57,94,1,0.12851277692994778,0.9777,-86.85560223688782,2%~5%,2025-08
sz.000725,2025-06-06,2025-08-15,3.9,3.89,-0.27,70,0,0.1281657924322369,0.9777,-86.89109211084822,-2%~0%,2025-08
sh.601398,2025-08-08,2025-08-28,7.527,7.114,-5.48,20,0,0.12114230700695033,0.9777,-87.60946026317373,-10%~-5%,2025-08
sh.600085,2025-07-25,2025-09-01,36.59,35.81,-2.13,38,0,0.1185619758677023,0.9777,-87.87337875956813,-5%~-2%,2025-09
sh.600019,2025-07-03,2025-09-01,6.78,6.829,0.72,60,1,0.11941562209394976,0.9777,-87.78606708663703,0%~2%,2025-09
sz.000651,2025-08-26,2025-09-01,44.853,41.547,-7.37,6,0,0.11061469074562567,0.9777,-88.68623394235188,-10%~-5%,2025-09
sz.000338,2025-06-26,2025-09-02,15.054,14.512,-3.61,68,0,0.10662150040970858,0.9777,-89.09466089703298,-5%~-2%,2025-09
sh.600406,2025-08-26,2025-09-02,22.192,21.467,-3.27,7,0,0.10313497734631112,0.9777,-89.45126548569999,-5%~-2%,2025-09
sz.300015,2025-07-14,2025-09-04,12.425,12.593,1.36,52,1,0.10453761303822096,0.9777,-89.30780269630552,0%~2%,2025-09
sh.603160,2025-06-26,2025-09-04,69.965,76.414,9.22,70,1,0.11417598096034494,0.9777,-88.32198210490489,5%~10%,2025-09
sz.002410,2025-08-27,2025-09-04,15.127,13.844,-8.48,8,0,0.10449385777490769,0.9777,-89.31227802240895,-10%~-5%,2025-09
sz.300122,2025-07-11,2025-09-04,20.58,21.88,6.32,55,1,0.11109786958628184,0.9777,-88.63681399342519,5%~10%,2025-09
sh.600588,2025-07-16,2025-09-04,14.74,14.91,1.15,50,1,0.1123754950865241,0.9777,-88.50613735434959,0%~2%,2025-09
sz.002415,2025-07-22,2025-09-05,27.176,28.306,4.16,45,1,0.11705031568212351,0.9777,-88.02799266829052,2%~5%,2025-09
sh.600010,2025-06-12,2025-09-05,1.82,2.43,33.52,85,1,0.1562855814987713,0.9777,-84.01497581070151,>10%,2025-09
sh.600570,2025-05-13,2025-09-05,26.956,33.794,25.37,115,1,0.1959352335250096,0.9777,-79.95957517387649,>10%,2025-09
sz.002230,2025-07-28,2025-09-05,50.18,49.19,-1.97,39,0,0.1920753094245669,0.9777,-80.35437154295111,-2%~0%,2025-09
sh.601318,2025-04-28,2025-09-17,48.211,55.744,15.62,142,1,0.22207747275668427,0.9777,-77.28572437796008,>10%,2025-09
sz.002142,2025-05-13,2025-09-18,24.32,26.773,10.09,128,1,0.2444850897578337,0.9777,-74.99385396769625,>10%,2025-09
sh.600030,2025-05-13,2025-09-18,25.999,28.711,10.43,128,1,0.26998488461957576,0.9777,-72.38571293652697,>10%,2025-09
sh.601857,2025-09-03,2025-09-19,8.849,8.19,-7.45,16,0,0.24987101071541737,0.9777,-74.44297732275571,-10%~-5%,2025-09
sh.600900,2025-08-26,2025-09-19,28.125,27.103,-3.63,24,0,0.24080069302644772,0.9777,-75.3706972459397,-5%~-2%,2025-09
sh.601288,2025-04-16,2025-09-22,5.012,6.373,27.16,159,1,0.30620216125243094,0.9777,-68.6813786179369,>10%,2025-09
sz.000899,2025-07-02,2025-09-22,8.96,9.51,6.14,82,1,0.32500297395333017,0.9777,-66.75841526507821,5%~10%,2025-09
sz.000858,2025-07-11,2025-09-23,116.763,119.234,2.12,74,1,0.3318930370011408,0.9777,-66.05369366869787,2%~5%,2025-09
sz.000858,2025-07-11,2025-09-23,116.763,119.234,2.12,74,1,0.33892916938556505,0.9777,-65.33403197447427,2%~5%,2025-09
sh.600519,2025-08-26,2025-09-25,1465.366,1418.671,-3.19,30,0,0.3281173288821655,0.9777,-66.43987635448855,-5%~-2%,2025-09
sh.600104,2025-07-07,2025-09-25,16.973,17.46,2.87,80,1,0.3375342962210836,0.9777,-65.47670080586236,2%~5%,2025-09
sh.600519,2025-08-26,2025-09-25,1465.366,1418.671,-3.19,30,0,0.32676695217163104,0.9777,-66.57799405015537,-5%~-2%,2025-09
sz.002304,2025-07-03,2025-09-25,65.08,69.11,6.19,84,1,0.34699382651105504,0.9777,-64.50917188185997,5%~10%,2025-09
sh.600887,2025-08-26,2025-09-26,26.688,25.577,-4.17,31,0,0.33252418394554406,0.9777,-65.98913941438641,-5%~-2%,2025-09
sh.600809,2025-06-23,2025-09-26,176.704,192.2,8.77,95,1,0.36168655487756823,0.9777,-63.006386941028104,5%~10%,2025-09
