strategy_id,code,name,start,end,bars,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,profit_factor,trades_count,closed_trades
threshold_alert,600330,天通股份,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
macd,600330,天通股份,2024-01-02,2026-05-20,573,12197.05,21.97,9.66,6.47,1.125,52.63,3.78,38,19
sma_cross,600330,天通股份,2024-01-02,2026-05-20,573,12400.64,24.01,10.5,4.88,1.227,46.15,3.516,27,13
bollinger,600330,天通股份,2024-01-02,2026-05-20,573,11329.22,13.29,5.96,2.87,1.8,81.82,18.418,17,11
composite,600330,天通股份,2024-01-02,2026-05-20,573,12571.96,25.72,11.21,5.72,1.296,57.14,4.447,42,21
threshold_alert,002453,华软科技,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
macd,002453,华软科技,2024-01-02,2026-05-20,573,10482.46,4.82,2.21,10.94,0.304,27.78,1.098,37,18
sma_cross,002453,华软科技,2024-01-02,2026-05-20,573,10353.25,3.53,1.62,12.66,0.24,26.67,1.351,31,15
bollinger,002453,华软科技,2024-01-02,2026-05-20,573,9701.63,-2.98,-1.4,8.67,-0.261,72.73,0.563,15,11
composite,002453,华软科技,2024-01-02,2026-05-20,573,10817.0,8.17,3.71,17.01,0.346,25.0,1.345,41,20
threshold_alert,603601,再升科技,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
macd,603601,再升科技,2024-01-02,2026-05-20,573,12044.52,20.45,9.02,7.01,0.983,31.82,2.629,45,22
sma_cross,603601,再升科技,2024-01-02,2026-05-20,573,11822.99,18.23,8.08,13.41,0.804,37.5,2.222,33,16
bollinger,603601,再升科技,2024-01-02,2026-05-20,573,10742.81,7.43,3.38,5.91,0.894,81.82,38.713,14,11
composite,603601,再升科技,2024-01-02,2026-05-20,573,12221.44,22.21,9.76,12.33,0.788,34.62,2.137,53,26
threshold_alert,002428,云南锗业,2024-01-02,2026-05-20,573,8540.52,-14.59,-7.06,36.59,-0.349,43.54,0.954,513,333
macd,002428,云南锗业,2024-01-02,2026-05-20,573,11280.89,12.81,5.75,6.76,0.929,36.36,3.373,22,11
sma_cross,002428,云南锗业,2024-01-02,2026-05-20,573,11598.61,15.99,7.12,7.95,0.911,50.0,3.881,20,10
bollinger,002428,云南锗业,2024-01-02,2026-05-20,573,10181.83,1.82,0.84,2.94,0.281,66.67,25.909,6,3
composite,002428,云南锗业,2024-01-02,2026-05-20,573,11577.2,15.77,7.03,6.72,0.866,41.67,3.236,24,12
threshold_alert,600130,波导股份,2024-01-02,2026-05-20,573,7094.14,-29.06,-14.73,63.62,-0.265,31.53,0.352,366,295
macd,600130,波导股份,2024-01-02,2026-05-20,573,10108.7,1.09,0.5,16.85,0.101,33.33,0.77,43,21
sma_cross,600130,波导股份,2024-01-02,2026-05-20,573,10851.12,8.51,3.86,10.67,0.482,33.33,1.34,31,15
bollinger,600130,波导股份,2024-01-02,2026-05-20,573,9894.38,-1.06,-0.49,9.66,-0.063,54.55,0.833,14,11
composite,600130,波导股份,2024-01-02,2026-05-20,573,10457.11,4.57,2.1,14.07,0.243,34.78,0.968,47,23
threshold_alert,603178,圣龙股份,2024-01-02,2026-05-20,573,10238.39,2.38,1.1,33.29,0.191,6.67,0.003,24,15
macd,603178,圣龙股份,2024-01-02,2026-05-20,573,10787.39,7.87,3.58,4.48,0.602,55.56,1.829,19,9
sma_cross,603178,圣龙股份,2024-01-02,2026-05-20,573,10199.92,2.0,0.92,6.54,0.175,50.0,0.206,17,8
bollinger,603178,圣龙股份,2024-01-02,2026-05-20,573,10562.48,5.62,2.57,6.08,0.532,60.0,6.016,10,5
composite,603178,圣龙股份,2024-01-02,2026-05-20,573,10289.08,2.89,1.33,6.94,0.23,50.0,0.635,25,12
threshold_alert,603986,兆易创新,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
macd,603986,兆易创新,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
sma_cross,603986,兆易创新,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bollinger,603986,兆易创新,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
composite,603986,兆易创新,2024-01-02,2026-05-20,573,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
threshold_alert,301120,新特电气,2024-01-02,2026-05-20,573,8622.88,-13.77,-6.65,34.72,-0.041,46.57,0.744,439,335
macd,301120,新特电气,2024-01-02,2026-05-20,573,10420.79,4.21,1.93,8.37,0.287,53.33,1.56,30,15
sma_cross,301120,新特电气,2024-01-02,2026-05-20,573,10791.27,7.91,3.6,6.99,0.448,72.73,3.008,22,11
bollinger,301120,新特电气,2024-01-02,2026-05-20,573,10996.55,9.97,4.51,3.65,0.919,70.0,18.31,15,10
composite,301120,新特电气,2024-01-02,2026-05-20,573,12679.65,26.8,11.65,10.04,0.771,58.82,5.033,34,17
threshold_alert,301179,泽宇智能,2024-01-02,2026-05-20,573,3343.62,-66.56,-39.86,75.42,-1.292,31.94,0.428,460,288
macd,301179,泽宇智能,2024-01-02,2026-05-20,573,9370.33,-6.3,-2.97,13.82,-0.355,23.81,0.702,42,21
sma_cross,301179,泽宇智能,2024-01-02,2026-05-20,573,10062.32,0.62,0.29,10.49,0.076,40.0,1.143,30,15
bollinger,301179,泽宇智能,2024-01-02,2026-05-20,573,10107.25,1.07,0.5,8.37,0.116,40.0,1.292,10,5
composite,301179,泽宇智能,2024-01-02,2026-05-20,573,9644.05,-3.56,-1.67,14.76,-0.102,21.74,0.884,46,23
threshold_alert,600021,上海电力,2024-01-02,2026-05-20,573,7471.77,-25.28,-12.65,37.55,-0.603,27.7,0.363,373,296
macd,600021,上海电力,2024-01-02,2026-05-20,573,12603.66,26.04,11.34,5.21,1.599,58.33,6.636,25,12
sma_cross,600021,上海电力,2024-01-02,2026-05-20,573,11801.38,18.01,7.99,7.75,1.153,40.0,5.491,20,10
bollinger,600021,上海电力,2024-01-02,2026-05-20,573,9879.51,-1.2,-0.56,4.54,-0.172,33.33,0.861,10,6
composite,600021,上海电力,2024-01-02,2026-05-20,573,12191.95,21.92,9.63,7.71,1.309,53.33,3.919,30,15
threshold_alert,000600,建投能源,2024-01-02,2026-05-20,573,6253.38,-37.47,-19.58,47.47,-0.863,35.88,0.386,444,354
macd,000600,建投能源,2024-01-02,2026-05-20,573,9711.24,-2.89,-1.35,6.26,-0.218,28.57,0.774,43,21
sma_cross,000600,建投能源,2024-01-02,2026-05-20,573,11316.41,13.16,5.91,3.8,0.989,61.54,4.489,27,13
bollinger,000600,建投能源,2024-01-02,2026-05-20,573,9565.87,-4.34,-2.04,7.05,-1.053,0.0,0.0,4,3
composite,000600,建投能源,2024-01-02,2026-05-20,573,10867.68,8.68,3.94,7.18,0.524,34.78,1.79,47,23
threshold_alert,002067,景兴纸业,2024-01-02,2026-05-20,573,6365.03,-36.35,-18.91,43.23,-0.546,31.0,0.351,365,300
macd,002067,景兴纸业,2024-01-02,2026-05-20,573,9800.01,-2.0,-0.93,10.46,-0.104,35.29,0.806,35,17
sma_cross,002067,景兴纸业,2024-01-02,2026-05-20,573,10104.06,1.04,0.48,7.54,0.101,33.33,1.216,31,15
bollinger,002067,景兴纸业,2024-01-02,2026-05-20,573,10570.0,5.7,2.61,2.74,0.717,84.62,20.022,17,13
composite,002067,景兴纸业,2024-01-02,2026-05-20,573,9268.34,-7.32,-3.46,19.39,-0.272,33.33,0.69,43,21
threshold_alert,000899,赣能股份,2024-01-02,2026-05-20,573,4556.27,-54.44,-30.57,63.62,-1.362,27.81,0.325,480,374
macd,000899,赣能股份,2024-01-02,2026-05-20,573,10578.04,5.78,2.64,5.35,0.479,42.11,1.933,39,19
sma_cross,000899,赣能股份,2024-01-02,2026-05-20,573,10641.45,6.41,2.93,4.96,0.52,46.67,2.751,31,15
bollinger,000899,赣能股份,2024-01-02,2026-05-20,573,9970.53,-0.29,-0.14,5.36,-0.052,60.0,0.947,8,5
composite,000899,赣能股份,2024-01-02,2026-05-20,573,10899.44,8.99,4.08,10.32,0.48,36.36,2.177,45,22
threshold_alert,001896,豫能控股,2024-01-02,2026-05-20,573,5634.25,-43.66,-23.38,60.93,-0.774,36.39,0.493,493,404
macd,001896,豫能控股,2024-01-02,2026-05-20,573,11038.72,10.39,4.69,9.89,0.581,27.27,1.709,44,22
sma_cross,001896,豫能控股,2024-01-02,2026-05-20,573,11382.4,13.82,6.19,8.93,0.652,41.18,2.044,34,17
bollinger,001896,豫能控股,2024-01-02,2026-05-20,573,11365.05,13.65,6.12,4.03,1.535,81.25,12.529,23,16
composite,001896,豫能控股,2024-01-02,2026-05-20,573,14860.45,48.6,20.18,14.98,1.243,32.0,3.567,50,25
threshold_alert,600310,广西能源,2024-01-02,2026-05-20,573,4436.79,-55.63,-31.42,62.44,-0.965,18.36,0.209,378,305
macd,600310,广西能源,2024-01-02,2026-05-20,573,10167.26,1.67,0.77,9.41,0.137,26.09,1.238,46,23
sma_cross,600310,广西能源,2024-01-02,2026-05-20,573,10038.78,0.39,0.18,10.81,0.063,26.67,1.241,31,15
bollinger,600310,广西能源,2024-01-02,2026-05-20,573,11002.16,10.02,4.53,2.49,1.237,94.12,50.927,22,17
composite,600310,广西能源,2024-01-02,2026-05-20,573,10030.03,0.3,0.14,9.53,0.059,28.0,1.113,50,25
threshold_alert,601222,林洋能源,2024-01-02,2026-05-20,573,10184.57,1.85,0.85,16.76,0.136,5.88,0.008,70,51
macd,601222,林洋能源,2024-01-02,2026-05-20,573,9422.31,-5.78,-2.72,9.82,-0.76,25.0,0.418,41,20
sma_cross,601222,林洋能源,2024-01-02,2026-05-20,573,9939.3,-0.61,-0.28,6.62,-0.051,46.67,0.852,31,15
bollinger,601222,林洋能源,2024-01-02,2026-05-20,573,10056.85,0.57,0.26,3.72,0.103,61.54,1.072,18,13
composite,601222,林洋能源,2024-01-02,2026-05-20,573,9117.38,-8.83,-4.2,14.56,-0.901,26.09,0.381,47,23
threshold_alert,600863,华能蒙电,2024-01-02,2026-05-20,573,7446.42,-25.54,-12.79,45.92,-0.543,16.49,0.084,251,194
macd,600863,华能蒙电,2024-01-02,2026-05-20,573,9596.25,-4.04,-1.89,8.63,-0.499,27.27,0.355,45,22
sma_cross,600863,华能蒙电,2024-01-02,2026-05-20,573,9532.79,-4.67,-2.2,8.8,-0.584,20.0,0.256,41,20
bollinger,600863,华能蒙电,2024-01-02,2026-05-20,573,10209.84,2.1,0.97,3.18,0.452,75.0,4.239,16,12
composite,600863,华能蒙电,2024-01-02,2026-05-20,573,9500.59,-4.99,-2.35,9.83,-0.482,26.09,0.342,47,23
threshold_alert,605006,山东玻纤,2024-01-02,2026-05-20,573,10475.0,4.75,2.18,39.5,0.214,40.44,0.744,514,413
macd,605006,山东玻纤,2024-01-02,2026-05-20,573,11255.32,12.55,5.64,13.17,0.667,33.33,1.435,37,18
sma_cross,605006,山东玻纤,2024-01-02,2026-05-20,573,11047.01,10.47,4.73,17.62,0.56,29.41,1.177,35,17
bollinger,605006,山东玻纤,2024-01-02,2026-05-20,573,10603.18,6.03,2.76,6.1,0.659,80.0,9.379,14,10
composite,605006,山东玻纤,2024-01-02,2026-05-20,573,12586.1,25.86,11.26,15.22,0.767,33.33,1.221,43,21
threshold_alert,603757,大元泵业,2024-01-02,2026-05-20,573,4582.3,-54.18,-30.38,54.23,-1.349,36.68,0.567,461,289
macd,603757,大元泵业,2024-01-02,2026-05-20,573,10190.9,1.91,0.88,2.85,0.378,100.0,0.0,4,2
sma_cross,603757,大元泵业,2024-01-02,2026-05-20,573,10076.53,0.77,0.35,2.84,0.16,50.0,2.219,4,2
bollinger,603757,大元泵业,2024-01-02,2026-05-20,573,10372.88,3.73,1.71,3.47,0.624,66.67,6.822,6,3
composite,603757,大元泵业,2024-01-02,2026-05-20,573,9548.17,-4.52,-2.12,8.98,-0.319,50.0,0.318,8,4
threshold_alert,002156,通富微电,2024-01-02,2026-05-20,573,6828.85,-31.71,-16.22,55.11,-0.574,38.38,0.659,478,271
macd,002156,通富微电,2024-01-02,2026-05-20,573,10983.8,9.84,4.45,6.25,0.775,50.0,12.529,4,2
sma_cross,002156,通富微电,2024-01-02,2026-05-20,573,10953.67,9.54,4.32,6.3,0.733,100.0,0.0,2,1
bollinger,002156,通富微电,2024-01-02,2026-05-20,573,10018.22,0.18,0.08,1.65,0.074,100.0,0.0,2,1
composite,002156,通富微电,2024-01-02,2026-05-20,573,10610.92,6.11,2.79,9.43,0.477,33.33,2.378,6,3
threshold_alert,002709,天赐材料,2024-01-02,2026-05-20,573,4552.32,-54.48,-30.6,55.95,-1.702,35.05,0.66,485,311
macd,002709,天赐材料,2024-01-02,2026-05-20,573,9982.54,-0.17,-0.08,6.48,0.012,35.71,1.064,28,14
sma_cross,002709,天赐材料,2024-01-02,2026-05-20,573,10487.01,4.87,2.23,5.89,0.412,50.0,2.306,16,8
bollinger,002709,天赐材料,2024-01-02,2026-05-20,573,10167.98,1.68,0.78,4.77,0.29,80.0,1.638,10,5
composite,002709,天赐材料,2024-01-02,2026-05-20,573,9837.78,-1.62,-0.76,15.67,-0.005,38.1,0.968,42,21
threshold_alert,002149,西部材料,2024-01-02,2026-05-20,573,7330.58,-26.69,-13.42,49.61,-0.628,39.36,0.848,507,343
macd,002149,西部材料,2024-01-02,2026-05-20,573,11928.9,19.29,8.53,9.32,0.963,14.29,2.381,42,21
sma_cross,002149,西部材料,2024-01-02,2026-05-20,573,11617.47,16.17,7.21,10.25,0.824,26.67,2.418,30,15
bollinger,002149,西部材料,2024-01-02,2026-05-20,573,10601.6,6.02,2.75,3.83,0.857,100.0,0.0,8,4
composite,002149,西部材料,2024-01-02,2026-05-20,573,11553.62,15.54,6.93,15.18,0.678,18.18,1.804,44,22
