股票代码,股票,策略,起始资金,终值,总收益率%,年化%,最大回撤%,夏普,交易数,胜率%
000967,盈峰环境,双均线,20000,20552,+2.76,+1.43,1.94,-1.60,13,33.3
000967,盈峰环境,MACD,20000,31953,+59.77,+27.63,14.14,1.96,19,44.4
000967,盈峰环境,布林带,20000,19854,-0.73,-0.38,0.73,-17.63,13,0.0
000967,盈峰环境,复合,20000,31799,+58.99,+27.31,17.32,8.01,10,50.0
000967,盈峰环境,复合V2,20000,23627,+18.13,+9.06,8.01,0.27,4,50.0
002256,兆新股份,双均线,20000,20007,+0.03,+0.02,1.06,-12.39,16,33.3
002256,兆新股份,MACD,20000,26670,+33.35,+16.17,24.60,2.32,18,41.2
002256,兆新股份,布林带,20000,19921,-0.40,-0.21,0.40,-23.92,8,12.5
002256,兆新股份,复合,20000,28892,+44.46,+21.11,9.97,1.04,11,45.5
002256,兆新股份,复合V2,20000,22757,+13.79,+6.96,10.06,0.28,5,40.0
