代码,名称,策略,终值,盈亏,总收益%,年化%,回撤%,夏普,交易,胜率%
600330,天通股份,MACD策略,18777.56,+8777.56,+87.78,+38.83,9.30,+1.5290,16,60.0
002453,华软科技,复合策略,16962.00,+6962.00,+69.62,+31.67,19.42,+1.6854,12,36.4
000967,盈峰环境,复合策略,15759.60,+5759.60,+57.60,+26.72,16.86,+9.3982,10,50.0
000967,盈峰环境,MACD策略,15588.17,+5588.17,+55.88,+26.00,13.80,+1.8948,19,44.4
600330,天通股份,复合策略,15464.25,+5464.25,+54.64,+25.48,8.62,+0.8591,8,75.0
002256,兆新股份,复合策略,14314.00,+4314.00,+43.14,+20.53,9.99,+1.0249,11,45.5
002453,华软科技,MACD策略,13282.00,+3282.00,+32.82,+15.93,22.19,+0.8245,15,28.6
002256,兆新股份,MACD策略,13242.00,+3242.00,+32.42,+15.74,24.74,+2.3416,18,41.2
600330,天通股份,自适应复合策略V2,12430.67,+2430.67,+24.31,+12.00,6.97,+0.3495,8,87.5
600330,天通股份,双均线策略,11823.81,+1823.81,+18.24,+9.11,4.74,+0.6594,13,41.7
000967,盈峰环境,自适应复合策略V2,11785.71,+1785.71,+17.86,+8.93,7.93,+0.2648,4,50.0
002256,兆新股份,自适应复合策略V2,11333.00,+1333.00,+13.33,+6.73,10.07,+0.2624,5,40.0
000967,盈峰环境,双均线策略,10551.62,+551.62,+5.52,+2.84,3.83,-0.4464,13,33.3
600330,天通股份,布林带策略,10066.07,+66.07,+0.66,+0.34,1.23,-2.5751,14,42.9
002256,兆新股份,双均线策略,10007.00,+7.00,+0.07,+0.04,2.12,-6.1646,16,33.3
002453,华软科技,双均线策略,9966.00,-34.00,-0.34,-0.18,4.37,-2.6211,14,23.1
002256,兆新股份,布林带策略,9921.00,-79.00,-0.79,-0.41,0.79,-12.4541,8,12.5
000967,盈峰环境,布林带策略,9853.98,-146.02,-1.46,-0.76,1.46,-9.4562,13,0.0
002453,华软科技,布林带策略,9833.00,-167.00,-1.67,-0.87,1.68,-70.1414,13,7.7
002453,华软科技,自适应复合策略V2,9543.00,-457.00,-4.57,-2.41,7.30,-6.2270,5,40.0
