2026-05-21 14:44:30,869 [INFO] paper-strat: === vqlearn paper + strategy ===
2026-05-21 14:44:30,871 [INFO] paper-strat: 持仓: 3 只 | 观察: 19 只 | auto_trade=True
2026-05-21 14:44:30,890 [INFO] paper-strat: [MainEngine] 连接登录 -> AKSHARE
2026-05-21 14:44:30,892 [INFO] paper-strat: [AKSHARE] akshare gateway 启动（行情 only），轮询 5.0s
2026-05-21 14:44:32,892 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,894 [INFO] paper-strat: [AKSHARE] 订阅 600330.SSE (累计 1 只)
2026-05-21 14:44:32,895 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,898 [INFO] paper-strat: [AKSHARE] 订阅 002453.SZSE (累计 2 只)
2026-05-21 14:44:32,899 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,900 [INFO] paper-strat: [AKSHARE] 订阅 603601.SSE (累计 3 只)
2026-05-21 14:44:32,902 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,903 [INFO] paper-strat: [AKSHARE] 订阅 002428.SZSE (累计 4 只)
2026-05-21 14:44:32,904 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,905 [INFO] paper-strat: [AKSHARE] 订阅 600130.SSE (累计 5 只)
2026-05-21 14:44:32,905 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,907 [INFO] paper-strat: [AKSHARE] 订阅 603178.SSE (累计 6 只)
2026-05-21 14:44:32,909 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,909 [INFO] paper-strat: [AKSHARE] 订阅 603986.SSE (累计 7 只)
2026-05-21 14:44:32,911 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,912 [INFO] paper-strat: [AKSHARE] 订阅 301120.SZSE (累计 8 只)
2026-05-21 14:44:32,912 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,914 [INFO] paper-strat: [AKSHARE] 订阅 301179.SZSE (累计 9 只)
2026-05-21 14:44:32,915 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:32,916 [INFO] paper-strat: [AKSHARE] 订阅 600021.SSE (累计 10 只)
2026-05-21 14:44:32,918 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,920 [INFO] paper-strat: [AKSHARE] 订阅 000600.SZSE (累计 11 只)
2026-05-21 14:44:32,920 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,922 [INFO] paper-strat: [AKSHARE] 订阅 002067.SZSE (累计 12 只)
