没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:54.515 | INFO | MainEngine | 连接登录 -> AKSHARE
2026-05-21 10:05:54.518 | INFO | AKSHARE | akshare gateway 启动（行情 only），轮询 5.0s
2026-05-21 10:05:56.519 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.521 | INFO | AKSHARE | 订阅 600330.SSE (累计 1 只)
2026-05-21 10:05:56.524 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002256', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.525 | INFO | AKSHARE | 订阅 002256.SZSE (累计 2 只)
2026-05-21 10:05:56.526 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.528 | INFO | AKSHARE | 订阅 002453.SZSE (累计 3 只)
2026-05-21 10:05:56.530 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.532 | INFO | AKSHARE | 订阅 603601.SSE (累计 4 只)
2026-05-21 10:05:56.533 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.533 | INFO | AKSHARE | 订阅 002428.SZSE (累计 5 只)
2026-05-21 10:05:56.534 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.537 | INFO | AKSHARE | 订阅 600130.SSE (累计 6 只)
2026-05-21 10:05:56.538 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.539 | INFO | AKSHARE | 订阅 603178.SSE (累计 7 只)
2026-05-21 10:05:56.540 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.542 | INFO | AKSHARE | 订阅 603986.SSE (累计 8 只)
2026-05-21 10:05:56.544 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.544 | INFO | AKSHARE | 订阅 301120.SZSE (累计 9 只)
2026-05-21 10:05:56.546 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
  📡 获取实时行情（新浪）...
2026-05-21 10:05:56.548 | INFO | AKSHARE | 订阅 301179.SZSE (累计 10 只)
2026-05-21 10:05:56.549 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.551 | INFO | AKSHARE | 订阅 600021.SSE (累计 11 只)
2026-05-21 10:05:56.553 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.555 | INFO | AKSHARE | 订阅 000600.SZSE (累计 12 只)
2026-05-21 10:05:56.555 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.556 | INFO | AKSHARE | 订阅 002067.SZSE (累计 13 只)
2026-05-21 10:05:56.558 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.560 | INFO | AKSHARE | 订阅 000899.SZSE (累计 14 只)
2026-05-21 10:05:56.561 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.562 | INFO | AKSHARE | 订阅 001896.SZSE (累计 15 只)
2026-05-21 10:05:56.564 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.566 | INFO | AKSHARE | 订阅 600310.SSE (累计 16 只)
2026-05-21 10:05:56.567 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='601222', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.569 | INFO | AKSHARE | 订阅 601222.SSE (累计 17 只)
2026-05-21 10:05:56.570 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600863', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.571 | INFO | AKSHARE | 订阅 600863.SSE (累计 18 只)
2026-05-21 10:05:56.572 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='605006', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.573 | INFO | AKSHARE | 订阅 605006.SSE (累计 19 只)
2026-05-21 10:05:56.575 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603757', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:56.576 | INFO | AKSHARE | 订阅 603757.SSE (累计 20 只)
2026-05-21 10:05:56.576 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002156', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:56.578 | INFO | AKSHARE | 订阅 002156.SZSE (累计 21 只)
2026-05-21 10:05:56.580 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002709', exchange=<Exchange.SZSE: 'SZSE'>)
