date,open,high,low,close,volume
2025-10-16,27.2013972,27.486589,27.1522262,27.3489102,36850228
2025-10-17,27.3489102,27.4964232,26.8572002,26.896537,42952000
2025-10-20,26.945708,27.1718946,26.9162054,27.0145474,33488642
2025-10-21,27.0145474,27.093221,26.9162054,26.9555422,32125761
2025-10-22,26.9260396,27.0047132,26.798195,26.798195,27516814
2025-10-23,26.798195,26.9653764,26.6801846,26.9162054,29371709
2025-10-24,26.9162054,27.04405,26.7588582,26.8276976,32961597
2025-10-27,26.847366,27.04405,26.8276976,26.9555422,37847732
2025-10-28,26.9653764,27.0243816,26.7785266,26.8178634,30525923
2025-10-29,26.8867028,26.8867028,26.6605162,26.7293556,36318904
2025-10-30,26.699853,27.093221,26.6703504,26.9063712,62116600
2025-10-31,27.0145474,27.1522262,26.847366,26.9555422,55229849
2025-11-03,26.9555422,27.0833868,26.7785266,26.994879,42836655
2025-11-04,26.9653764,26.9653764,26.601511,26.6211794,60648580
2025-11-05,26.5621742,26.8670344,26.4933348,26.798195,44964646
2025-11-06,26.749024,26.9260396,26.6801846,26.7686924,31469231
2025-11-07,26.7686924,26.8670344,26.7195214,26.8375318,26067746
2025-11-10,26.847366,27.879957,26.8375318,27.8012834,117600270
2025-11-11,27.8111176,27.978299,27.6144336,27.879957,71820831
2025-11-12,27.8406202,28.273325,27.8406202,28.0078016,70355130
2025-11-13,27.978299,28.125812,27.7422782,28.1061436,51024126
2025-11-14,28.0963094,28.3519986,27.879957,27.879957,40920148
2025-11-17,27.8701228,28.1454804,27.6537704,28.0963094,37467511
2025-11-18,28.2929934,29.0895636,28.2929934,29.0305584,130332563
2025-11-19,29.0993978,29.2862476,28.9027138,29.0895636,63042735
2025-11-20,29.0698952,29.2764134,28.8732112,28.912548,47237188
2025-11-21,28.7256982,29.060061,28.51918,28.617522,59902127
2025-11-24,28.863377,28.9027138,28.4011696,28.4306722,44778082
2025-11-25,28.4405064,28.7748692,28.273325,28.6765272,40763905
2025-11-26,28.617522,28.863377,28.4011696,28.6961956,28714877
2025-11-27,28.715864,28.7256982,28.4405064,28.568351,22302578
2025-11-28,28.568351,28.9715532,28.4896774,28.8928796,35720114
2025-12-01,28.912548,29.0698952,28.5978536,28.9420506,37912006
2025-12-02,28.9813874,29.01089,28.7256982,28.863377,24441802
2025-12-03,28.814206,28.9420506,28.6273562,28.7847034,26371544
2025-12-04,28.6961956,28.7945376,28.4601748,28.5093458,27094245
2025-12-05,28.5093458,28.6765272,28.322496,28.4405064,26363035
2025-12-08,28.470009,28.666693,28.2536566,28.3618328,33170657
2025-12-09,28.4896774,28.568351,28.1651488,28.2831592,31850797
2025-12-10,28.224154,28.371667,27.9881332,28.0864752,26007581
2025-12-11,28.076641,28.1454804,27.8897912,27.9192938,26628298
2025-12-12,28.0668068,28.2831592,27.8602886,28.224154,48863129
2025-12-15,28.224154,28.5388484,28.174983,28.3519986,33126750
2025-12-16,28.420838,28.6568588,28.2929934,28.470009,44664043
2025-12-17,28.58,29.09,28.38,28.85,45788558
2025-12-18,28.85,29.09,28.68,28.97,27882552
2025-12-19,28.8,29.24,28.77,29.18,35762905
2025-12-22,29.05,29.32,28.93,29.1,40187251
2025-12-23,29.31,29.5,28.81,28.93,42733840
2025-12-24,28.81,28.99,28.7,28.88,29621304
